atom_type,protein_count,ligand_count,total_occurrence,Unnamed: 0,sybyl_type,element,hybridization,hydrogens,total_neighbors,definition,local_reference_frame
Cl_1,532,7152,7684,84,Cl,Cl,sp3,0,1,Chloride group,Axial
C.3r6_3,622,6952,7574,47,C.3,C,sp3,1,4,sp3 C in 6-membered ring,Axial
N.gu_3,6113,1137,7250,128,N.pl3,N,sp2,0,3,Guanidine N with 3 heavy neighbors,Axial
O.ar_2,5319,1649,6968,161,O.2,O,sp2,0,2,O in aromatic ring,Anisotropic
O.2s_1,3999,2814,6813,150,O.2,O,sp2,0,1,Primary sulphate O,Axial
N.2c_2,5892,761,6653,95,N.2,N,sp2,"[0,1]","[2,3]","sp2 N, secondary",Anisotropic
C.ar6p_3,832,5702,6534,67,C.ar,C,sp2,0,3,Substituted C in aromatic 6-ring (para relative to hetero-atom),Axial
P.o3_4,820,5507,6327,167,P.3,P,sp3,0,4,P coupled to 3 O's and 1 C,Isotropic
C.2r6_3,1213,4997,6210,15,C.2,C,sp2,0,3,Non-aromatic sp2 C in 6-membered ring,Axial
N.ar5n_2,325,5719,6044,116,N.ar,N,sp2,0,2,"Unsubstituted, uncharged N in 5-membered aromatic ring next to N",Anisotropic
C.ar6p_2,1992,3578,5570,66,C.ar,C,sp2,1,3,Unsubstituted C in aromatic 6-ring (para relative to hetero-atom),Anisotropic
C.o_2,4521,736,5257,77,C.2,C,sp2,1,3,C of terminal aldehyde,Anisotropic
O.3et_2,1396,3852,5248,152,O.3,O,sp3,0,2,Ether oxygen,Anisotropic
C.2r5x_3,1051,4134,5185,13,C.2,C,sp2,0,3,Non-aromatic sp2 C in 5-membered ring with hetero-atom neighbor,Axial
Fe,4362,503,4865,87,Fe,Fe,/,/,/,Fe ion,Isotropic
N.ar6p_3,2930,1511,4441,125,N.ar,N,sp2,0,3,"Substituted, charged N in 6-membered aromatic ring",Axial
Zn,4374,0,4374,182,Zn,Zn,/,/,/,Zn ion,Isotropic
N.oh_2,3426,876,4302,135,N.pl3,N,sp2,0,2,Nitroso group with 1 C neighbour,Anisotropic
N.r6_2,2231,2031,4262,138,N.3,N,sp3,1,3,sp3 N in 6-membered ring,Anisotropic
N.4_2,1020,3228,4248,106,N.4,N,sp3,2,4,"Secondary amine, charged",Anisotropic
C.3r3x_4,4065,106,4171,34,C.3,C,sp3,0,4,sp3 C in 3-membered ring with hetero-atom neighbor,Isotropic
C.3r5_3,412,3380,3792,41,C.3,C,sp3,1,4,sp3 C in 5-membered ring,Axial
O.2n_1,545,3202,3747,147,O.2,O,sp2,0,1,Nitro O,Anisotropic
C.3r6_4,294,3354,3648,48,C.3,C,sp3,0,4,sp3 C in 6-membered ring,Isotropic
C.o_3,546,3001,3547,78,C.2,C,sp2,0,3,C of keto group,Axial
S.ar_2,418,3014,3432,172,S.2,S,sp2,0,2,S in aromatic ring,Anisotropic
C.2c_3,596,2646,3242,5,C.2,C,sp2,0,3,Tertiary alkene,Axial
Mn,3039,0,3039,91,Mn,Mn,/,/,/,Mn ion,Isotropic
C.2r6x_2,1533,1304,2837,16,C.2,C,sp2,1,3,Non-aromatic sp2 C in 6-membered ring with hetero-atom neighbor,Anisotropic
C.et_3,1159,1601,2760,74,C.3,C,sp3,1,4,Ether C,Axial
C.3r6x_4,236,2401,2637,51,C.3,C,sp3,0,4,sp3 C in 6-membered ring with hetero-atom neighbor,Isotropic
N.ar5np_3,110,2194,2304,118,N.ar,N,sp2,0,3,"Substituted, charged N in 5-membered aromatic ring next to N",Axial
C.3r3_2,463,1733,2196,29,C.3,C,sp3,2,4,sp3 C in 3-membered ring,Anisotropic
C.3r3x_2,2051,75,2126,32,C.3,C,sp3,2,4,sp3 C in 3-membered ring with hetero-atom neighbor,Anisotropic
Ca,2097,0,2097,82,Ca,Ca,/,/,/,Ca ion,Isotropic
C.2r5x_2,1942,36,1978,12,C.2,C,sp2,1,3,Non-aromatic sp2 C in 5-membered ring with hetero-atom neighbor,Anisotropic
Br_1,263,1684,1947,0,Br,Br,sp3,0,1,Bromide group,Axial
N.1_1,338,1532,1870,93,N.1,N,sp,0,1,Nitrile N,Axial
C.3hal_4,108,1753,1861,25,C.3,C,sp3,0,4,sp3 C bound to halogen,Isotropic
N.r5_3,1374,394,1768,137,N.3,N,sp3,0,3,sp3 N in 5-membered ring,Axial
N.aa_2,155,1595,1750,110,N.2,N,sp2,"[0,1]","[2,3]",Secondary amine as aromatic substituent,Anisotropic
C.2n_3,1102,537,1639,7,C.2,C,sp2,0,3,Non-aromatic sp2 C bound to N and 2 other heavy atoms,Axial
N.o2_3,130,1499,1629,134,N.pl3,N,sp2,0,3,Nitro N,Axial
N.r5_2,1188,332,1520,136,N.3,N,sp3,1,3,sp3 N in 5-membered ring,Anisotropic
N.2c_1,1471,48,1519,94,N.2,N,sp2,"[1,2]","[2,3]","sp2 N, primary",Anisotropic
N.3p_2,195,1162,1357,104,N.3,N,sp3,1,3,sp3 N bound to P,Anisotropic
C.3r5x_4,136,1215,1351,45,C.3,C,sp3,0,4,sp3 C in 5-membered ring with hetero-atom neighbor,Isotropic
S.o0_3,760,584,1344,174,S.3,S,sp3,0,3,SF4 S,Axial
N.ar5np_2,92,1244,1336,117,N.ar,N,sp2,1,3,"Unsubstituted, charged N in 5-membered aromatic ring next to N",Anisotropic
O.al_1,554,677,1231,159,O.2,O,sp2,0,1,Aldehyde O,Anisotropic
S.o4n0_4,938,285,1223,179,S.3,S,sp3,0,4,Sulphate S,Isotropic
C.2r4x_3,1104,46,1150,9,C.2,C,sp2,0,3,Non-aromatic sp2 C in 4-membered ring with hetero-atom neighbor,Axial
S.r_2,49,1026,1075,180,S.3,S,sp3,0,2,sp3 S in ring,Anisotropic
N.aa_1,107,867,974,109,N.2,N,sp2,"[1,2]","[2,3]",Primary amine as aromatic substituent,Anisotropic
C.oh_4,152,811,963,81,C.3,C,sp3,0,4,Tertiary alcohol,Isotropic
S.2c_1,640,295,935,169,S.2,S,sp2,0,1,sp2 S coupled to C,Anisotropic
C.3c_4,144,786,930,21,C.3,C,sp3,0,4,Quaternary C (bound to C only),Isotropic
N.mih_3,559,330,889,133,N.am,N,sp2,0,3,Tertiary amidine N,Axial
C.2r5_3,98,789,887,11,C.2,C,sp2,0,3,Non-aromatic sp2 C in 5-membered ring,Axial
N.im_3,36,837,873,130,N.am,N,sp2,0,3,Tertiary imide N,Axial
C.et_4,346,483,829,75,C.3,C,sp3,0,4,Ether C,Isotropic
N.aa_3,168,628,796,111,N.2,N,sp2,0,3,Tertiary amine as aromatic substituent,Axial
C.3r3_3,127,620,747,30,C.3,C,sp3,1,4,sp3 C in 3-membered ring,Axial
S.o3n0_4,82,613,695,177,S.3,S,sp3,0,4,sp3 S coupled to O's and 1 C,Isotropic
C.2r5_2,294,298,592,10,C.2,C,sp2,1,3,Non-aromatic sp2 C in 5-membered ring,Anisotropic
C.3r4_2,81,494,575,35,C.3,C,sp3,2,4,sp3 C in 3-membered ring,Anisotropic
